140,UNRECOVERABLE_ECC_ERROR_ESCAPE,RESET_GPU,FATAL
141,ROBUST_CHANNEL_FAST_PATH_ERROR ,IGNORE,NONFATAL
142,ROBUST_CHANNEL_NVENC3_ERROR,UNEXPECTED_ERR_REPORT_ISSUE,FATAL
143,GPU_INIT_ERROR,RESET_GPU,FATAL
144,NVLINK_SAW_ERROR,WORKFLOW_NVLINK5_ERR,FATAL
145,NVLINK_RLW_ERROR,WORKFLOW_NVLINK5_ERR,FATAL
146,NVLINK_TLW_ERROR,WORKFLOW_NVLINK5_ERR,FATAL
147,NVLINK_TREX_ERROR,WORKFLOW_NVLINK5_ERR,FATAL
148,NVLINK_NVLPW_CTRL_ERROR,WORKFLOW_NVLINK5_ERR,FATAL
149,NVLINK_NETIR_ERROR,WORKFLOW_NVLINK5_ERR,FATAL
150,NVLINK_MSE_ERROR,WORKFLOW_NVLINK5_ERR,FATAL
151,ROBUST_CHANNEL_KEY_ROTATION_ERROR,RESTART_VM,FATAL
152,ROBUST_CHANNEL_DLA_SMMU_ERROR,IGNORE,NONFATAL
153,ROBUST_CHANNEL_DLA_TIMEOUT,IGNORE,NONFATAL
154,GPU_RECOVERY_ACTION_CHANGED ,Follow guidance as it aapplies to another Xid,NONFATAL
155,NVLINK_SW_DEFINED_ERROR,RESET_GPU,FATAL
156,RESOURCE_RETIREMENT_EVENT,RESET_GPU,FATAL
157,RESOURCE_RETIREMENT_FAILURE,IGNORE,NONFATAL
158,GPU_FATAL_TIMEOUT,RESET_GPU,FATAL
159,ROBUST_CHANNEL_CHI_NON_DATA_ERROR,CHECK_UVM,NONFATAL
160,CHANNEL_RETIREMENT_EVENT ,RESTART_BM,FATAL
161,CHANNEL_RETIREMENT_FAILURE,IGNORE,NONFATAL
162,,RESET_GPU,FATAL
